    0     0 
    1     1 
    2     2 
    3     3 
    4     4 
    5     5 
    6     6 
    7     7 
    8     8 
    9     9 
   10    10 
   11    11 
   12    12 
   39    15 
   40    16 
   13    17 
   14    18 
   15    19 
   16    20 
   17    21 
   18    22 
   19    23 
   20    24 
   21    25 
   22    26 
   23    27 
   24    28 
   25    29 
   26    30 
   27    31 
   28    32 
   29    33 
   30    34 
   31    35 
   32    39 
   33    40 
   41    41 
   42    42 
   43    43 
   34    13 
   35    14 
   36    36 
   37    37 
   38    38 
   44    44 
   45    45 
   46    46 
   47    47 
