path,state,coordinate,relative_E
./S000/variant_01,S322,7,-1.645781562
./S001/variant_02,S323,8,-2.205163344
./S002/variant_02,S324,9,-2.307975125
./S100/variant_03,S422,8,-0.771010063
./S101/variant_03,S423,9,-1.688551844
./S102/variant_01,S424,10,-2.074073625
./S110/variant_01,S432,9,-0.826826313
./S111/variant_01,S433,10,-1.251518094
./S112/variant_01,S434,11,-1.369219875
./S200/variant_01,S522,9,-0.357478562
./S201/variant_03,S523,10,-0.742000344
./S202/variant_01,S524,11,-2.197952125
./S210/variant_01,S532,10,-1.282974813
./S211/variant_01,S533,11,-2.215446594
./S212/variant_02,S534,12,-2.169888375
./S220/variant_01,S542,11,-0.908621062
./S221/variant_01,S543,12,-1.860042844
./S222/variant_01,S544,13,-1.403044625
./S300/variant_01,S622,10,1.698702938
./S301/variant_01,S623,11,1.099901156
./S302/variant_01,S624,12,-1.741120625
./S310/variant_03,S632,11,-0.721913312
./S311/variant_03,S633,12,-1.600655094
./S312/variant_03,S634,13,-1.012806875
./S320/variant_02,S642,12,-1.047919562
./S321/variant_03,S643,13,-1.923531344
./S322/variant_01,S644,14,-3.471003125
